game_id,team,starter_id,starter_name
ANA199804170,TB,gorer001,Rick Gorecki
ANA199804180,LAA,dickj001,Jason Dickson
ANA199804180,TB,alvaw001,Wilson Alvarez
ANA199804190,LAA,watsa001,Allen Watson
ANA199804190,TB,arror001,Rolando Arrojo
ANA199804200,BAL,drabd001,Doug Drabek
ANA199804200,LAA,hillk001,Ken Hill
ANA199804210,BAL,johnd003,Doug Johns
ANA199804210,LAA,mcdoj001,Jack McDowell
ANA199804220,BAL,erics001,Scott Erickson
ANA199804220,LAA,finlc001,Chuck Finley
ANA199805010,CHW,baldj002,James Baldwin
ANA199805010,LAA,olivo001,Omar Olivares
ANA199805020,CHW,sirom001,Mike Sirotka
ANA199805020,LAA,finlc001,Chuck Finley
ANA199805030,CHW,berej002,Jason Bere
ANA199805030,LAA,dickj001,Jason Dickson
ANA199805040,CHW,navaj001,Jaime Navarro
ANA199805040,LAA,watsa001,Allen Watson
ANA199805050,LAA,hillk001,Ken Hill
ANA199805050,TOR,guzmj003,Juan Guzman
ANA199805060,LAA,olivo001,Omar Olivares
ANA199805060,TOR,hanse001,Erik Hanson
ANA199805080,DET,moehb001,Brian Moehler
ANA199805080,LAA,watsa001,Allen Watson
ANA199805090,DET,castf001,Frank Castillo
ANA199805090,LAA,finlc001,Chuck Finley
ANA199805100,DET,worrt002,Tim Worrell
ANA199805100,LAA,hillk001,Ken Hill
ANA199805190,ATH,rogek001,Kenny Rogers
ANA199805190,LAA,finlc001,Chuck Finley
ANA199805200,ATH,oquim001,Mike Oquist
ANA199805200,LAA,hillk001,Ken Hill
ANA199805210,ATH,steib002,Blake Stein
ANA199805210,LAA,mcdoj001,Jack McDowell
ANA199805220,LAA,olivo001,Omar Olivares
ANA199805220,MIN,tewkb001,Bob Tewksbury
ANA199805230,LAA,watsa001,Allen Watson
ANA199805230,MIN,hawkl001,LaTroy Hawkins
ANA199805240,LAA,finlc001,Chuck Finley
ANA199805240,MIN,radkb001,Brad Radke
ANA199805250,KC,belct001,Tim Belcher
ANA199805250,LAA,hillk001,Ken Hill
ANA199805270,KC,rosaj001,Jose Rosado
ANA199805270,LAA,olivo001,Omar Olivares
ANA199806050,COL,joneb004,Bobby Jones
ANA199806050,LAA,dickj001,Jason Dickson
ANA199806060,COL,kiled001,Darryl Kile
ANA199806060,LAA,olivo001,Omar Olivares
ANA199806070,COL,wrigj001,Jamey Wright
ANA199806070,LAA,washj001,Jarrod Washburn
ANA199806160,LAA,dickj001,Jason Dickson
ANA199806160,SEA,swifb001,Bill Swift
ANA199806170,LAA,olivo001,Omar Olivares
ANA199806170,SEA,fassj001,Jeff Fassero
ANA199806180,LAA,washj001,Jarrod Washburn
ANA199806180,SEA,moyej001,Jamie Moyer
ANA199806190,LAA,finlc001,Chuck Finley
ANA199806190,TEX,hellr001,Rick Helling
ANA199806200,LAA,spars001,Steve Sparks
ANA199806200,TEX,vanpt001,Todd Van Poppel
ANA199806210,LAA,dickj001,Jason Dickson
ANA199806210,TEX,perim001,Matt Perisho
ANA199806220,LAA,olivo001,Omar Olivares
ANA199806220,LAD,valdi001,Ismael Valdez
