game_id,date,season,season_label,sport,game_type,team,opponent,home_away,score_for,score_against,result,margin,total,decided_in,line,total_line,moneyline,odds_win,odds_draw,implied_win,line_result,ou_result,favorite
1990020038,1990-10-11,1990,1990-91,nhl,regular,NJD,PHI,A,4,7,L,-3,11,REG,,,,,,,,,
1990020038,1990-10-11,1990,1990-91,nhl,regular,PHI,NJD,H,7,4,W,3,11,REG,,,,,,,,,
1990020039,1990-10-11,1990,1990-91,nhl,regular,PIT,CHI,A,1,4,L,-3,5,REG,,,,,,,,,
1990020039,1990-10-11,1990,1990-91,nhl,regular,CHI,PIT,H,4,1,W,3,5,REG,,,,,,,,,
1990020040,1990-10-11,1990,1990-91,nhl,regular,EDM,LAK,A,5,5,T,0,10,OT,,,,,,,,,
1990020040,1990-10-11,1990,1990-91,nhl,regular,LAK,EDM,H,5,5,T,0,10,OT,,,,,,,,,
1990020041,1990-10-12,1990,1990-91,nhl,regular,CAR,DET,A,2,4,L,-2,6,REG,,,,,,,,,
1990020041,1990-10-12,1990,1990-91,nhl,regular,DET,CAR,H,4,2,W,2,6,REG,,,,,,,,,
1990020042,1990-10-12,1990,1990-91,nhl,regular,COL,BUF,A,4,2,W,2,6,REG,,,,,,,,,
1990020042,1990-10-12,1990,1990-91,nhl,regular,BUF,COL,H,2,4,L,-2,6,REG,,,,,,,,,
1990020043,1990-10-12,1990,1990-91,nhl,regular,MTL,NYR,A,0,3,L,-3,3,REG,,,,,,,,,
1990020043,1990-10-12,1990,1990-91,nhl,regular,NYR,MTL,H,3,0,W,3,3,REG,,,,,,,,,
1990020044,1990-10-12,1990,1990-91,nhl,regular,ARI,WSH,A,1,3,L,-2,4,REG,,,,,,,,,
1990020044,1990-10-12,1990,1990-91,nhl,regular,WSH,ARI,H,3,1,W,2,4,REG,,,,,,,,,
1990020045,1990-10-12,1990,1990-91,nhl,regular,STL,VAN,A,0,4,L,-4,4,REG,,,,,,,,,
1990020045,1990-10-12,1990,1990-91,nhl,regular,VAN,STL,H,4,0,W,4,4,REG,,,,,,,,,
1990020046,1990-10-13,1990,1990-91,nhl,regular,BOS,LAK,A,1,7,L,-6,8,REG,,,,,,,,,
1990020046,1990-10-13,1990,1990-91,nhl,regular,LAK,BOS,H,7,1,W,6,8,REG,,,,,,,,,
1990020047,1990-10-13,1990,1990-91,nhl,regular,MTL,CAR,A,2,5,L,-3,7,REG,,,,,,,,,
